"","n_Weight","n_Length","n_Age","Lat","Area_ha","Method","W_inf","SE_W_inf","CI95lo_W_inf","CI95hi_W_inf"
"16.8 Mile Lake",0,14,0,63.04338,26.3,4,1.93888090738363,2.29490615866172,0.14443363057851,8.58133693580258
"36 Mile Lake",0,7,0,63.10364,44.52,4,2.17196833765981,2.49892520489419,0.191309991136569,9.3084124195907
"Backdown Lake",0,25,0,63.71486,2.09,4,0.44058302544646,1.00964312297777,0.00171986689452894,3.44501437056524
"Bernard Lake",0,5,5,61.5254,NA,4,NA,NA,NA,NA
"Big Lake (Healy)",6,65,5,62.98789,437.06,4,3.32728318994427,3.37186156396707,0.346638292267788,12.9708440795598
"Bullwinkle Lake",0,1,0,63.906999,2,4,0.401860494881528,0.953158772503238,0.00166546961191916,3.33550000199093
"Butte Lake",104,966,113,63.19019,275.19,1,1.34006211180125,0.0975761412708908,1.08621635610766,1.42003105590062
"Chandler Lake",331,1331,47,68.22725,1311.5,2,5.72330001080158,0.75139471653921,4.62323375553325,7.55797208996793
"Chelle Lake",0,4,0,62.19199,14.16,4,1.61296819074414,2.143290605359,0.0844919082623854,7.91986644631395
"Chet Lake",0,16,0,63.830588,4,4,0.820761690535091,1.39490972830544,0.0128555888629269,5.01256368769358
"Clarence Lake",0,9,0,62.67556,121,4,2.60882009054253,2.77131398285567,0.277893933112033,10.5081958848598
"Coal Mine 5",0,99,0,63.717789,4,4,0.813849300438117,1.35187650351618,0.0116806456816273,4.89259978075281
"Craig Lake",0,7,0,63.73103,8.41,4,1.29644306767105,1.87059277258781,0.0457652540007101,6.75565498388265
"Crosswind Lake",111,147,2,62.35472,3716.55,3,6.02084014870295,0.891090537850538,4.55338001676662,7.83785570451661
"Crystal Lake #1",0,10,0,63.15976,NA,4,NA,NA,NA,NA
"Dickey Lake",0,46,0,62.93348,305.54,4,2.85403005303679,2.89599933927602,0.340886722401422,11.0153878349426
"Dog Lake (near Lk Louise)",0,5,0,62.37635,339.94,4,2.82834507142474,3.0157917168946,0.350175404305812,11.4735648594532
"Donnelly Lake",0,76,0,NA,NA,4,NA,NA,NA,NA
"Ellis Lake",16,67,0,62.26928,101.17,4,2.44151432758431,2.41212129742254,0.281525990977015,9.45091069082808
"Fielding Lake",625,1293,3,63.17169,561.96,3,6.63645712926435,1.40906160101458,4.55595942031327,9.37127137706188
"Four Mile Lake",0,10,0,NA,NA,4,NA,NA,NA,NA
"Fourteen Mile Lake",0,146,0,63.071954,39,3,1.19016273706061,0.277383344703858,0.807362152868839,1.74141043837644
"Galbraith Lake",29,163,0,68.46224,413.56,3,5.67052425052485,1.05983961895069,3.85172623167114,8.00386527657075
"Ghost Lake",0,5,0,NA,NA,4,NA,NA,NA,NA
"Glacier Gap Lake (Denali Hwy)",392,1365,406,63.11834,179.3,1,1.125,0.0210821253323435,1.075,1.15
"Hanagita Lake",0,48,0,61.23465,52.61,4,2.34304739968963,2.70976315891162,0.202026280261885,9.74067036656886
"Harding Lake",55,81,16,64.43474,887.18,2,8.85164854822078,1.92230622114229,6.29598363747932,13.706786851258
"Hidden Lake (Kenai)",169,171,0,60.48471,682.7,1,1.642,0.144701066120859,1.36896402877698,1.86860869565217
"Iniakuk Lake",0,4,0,67.13484,1298.79,4,2.84043580476453,2.67896230481587,0.414702173421858,10.1771545543681
"Itkillik lake",10,849,42,68.40173,438.73,2,2.14352107578444,0.951209310458747,1.30172597010128,4.77825882196255
"Jatahmund Lake",8,117,15,62.62185,NA,3,2.70874280887056,0.609702511393367,1.85282900493113,4.20484090872865
"Julie Lake",0,1,0,62.17746,16.59,4,1.71812966961123,2.38923570898564,0.113943086158569,8.36194037967614
"Juneau Lake (Cooper Landing)",3,12,0,60.57625,56.66,4,2.4221210081888,2.72513008197239,0.192584170331451,10.435263534956
"Kenna Lake",0,2,0,63.7091,5.92,4,1.04619114350939,1.69899985039289,0.0249698853825248,5.85102292272235
"Kettle Lake",0,9,0,62.563693,NA,4,NA,NA,NA,NA
"Lake Louise",0,6735,4,62.32447,5913.07,3,2.6094308851914,3.19096943358021,1.61401957467755,9.99277067644132
"Lake Schrader",750,750,0,69.37954,1077.27,3,4.76050436662126,2.71164305656336,1.63171871169824,10.1665049918793
"Landlocked Tangle Lake",123,789,26,62.99823,218.53,2,1.54043642431528,0.480253739809768,0.995393449219373,2.82919488482096
"Landmark Gap Lake",0,4,0,63.12974,297.85,4,2.77785756184769,2.85469022266767,0.379859518592175,10.9877826987191
"Lee's Lake",0,1,0,62.08638,30.35,4,2.04976851945742,2.41951930269687,0.147161038108907,9.20136969052548
"Little Chandler Lake",35,195,3,68.27687,331.85,3,3.54608765867768,1.79223709782357,2.01209110961565,7.9531226155951
"Little Lake Louise",0,1,0,62.30231,506.32,4,3.0399777623168,3.05238720265201,0.382796239667887,11.7332283053528
"Long Lake (McCarthy Rd)",0,2,0,61.38122,NA,4,NA,NA,NA,NA
"Lost Lake",0,9,0,NA,NA,4,NA,NA,NA,NA
"Lower Hanagita",0,3,3,-143.79877,NA,4,NA,NA,NA,NA
"Lower Tangle Lake",104,430,6,63.13533,137.42,1,5.18806485826919,1.01335793855612,3.2361690647482,6.44249689440994
"Lower Twelve Mile Lake",0,1,0,62.7796,40.47,4,2.21818733614614,2.50535820630758,0.206194143131538,9.44610319536396
"Michigan Lake",0,1,0,62.58475,113.31,4,2.52836450850518,2.76688166747227,0.280712829607114,10.2564665564237
"Minnesota Lake",0,1,0,62.57637,329.41,4,2.84659077882942,2.94246179773918,0.328957447187987,11.3342163490736
"Monte Lake",27,27,0,63.50359,60,4,2.49269235798793,2.61777150927596,0.230552642661656,10.0777102998468
"Nabesna Twin 2 Lake",0,1,0,62.52668,7.51,4,1.17923084320821,1.78139516580802,0.037591572388129,6.4072780860011
"Nickel Lake",0,9,0,63.8282,2.7,4,0.579419298121236,1.20018887784073,0.0041745042073268,4.13730673492206
"No Mercy Lake",0,23,0,63.86414,0.96,4,0.128367057196441,0.561005054871684,4.04135563909181e-05,1.83528448175789
"North Twin Lake",0,9,0,NA,NA,4,NA,NA,NA,NA
"Nutuvuki Lake",0,3,0,66.98426,1535.48,4,2.81154954289176,2.55679564227092,0.418237389055666,10.1025114299702
"Octopus Lake (Denali Hwy)",0,5,0,63.06127,8.09,4,1.24437657605928,1.8489148810049,0.0483129105105795,6.78352854810118
"Paul's Pond",0,2,0,NA,NA,4,NA,NA,NA,NA
"Paxson Lake",324,10654,389,62.90736,1569.9,3,2.39252629475707,0.0847057450906495,2.24305111786954,2.57497351434274
"Petrokov Lake",0,14,0,63.189,NA,4,NA,NA,NA,NA
"Rangeview Lake",0,1,0,63.705764,2,4,0.403862922003539,0.992317745252662,0.00172631491407087,3.46423869243182
"Rapids Lake",0,51,0,NA,NA,4,NA,NA,NA,NA
"Rockhound Lake",0,37,0,63.863878,1,4,0.130578098501032,0.561028417092332,6.1649667020634e-05,1.88083853973673
"Round Lake (Chandler)",0,7,0,68.32142,194.25,4,2.55109105914384,2.419162091897,0.353238751269188,9.46562531939437
"Round Tangle Lake",52,228,0,63.05591,156.15,3,2.36099789693059,0.803372870754136,1.67635017623935,4.54239271827359
"Sevenmile Lake",0,64,0,63.18142,622.75,4,2.90044203380131,2.88730588928572,0.387330866215733,11.0971722131997
"Sevenmile Lake (Denali Hwy)",166,3336,210,63.09816,35.13,1,0.95,0.0645967112983833,0.821541996402878,1.05393435251799
"Shallow Tangle Lake",73,107,0,63.07659,102.84,3,4.03927519915645,0.510628906187319,2.94942545457879,4.98116351568208
"Skilak Lake",370,369,0,60.41639,9914.8,3,0.73918625499837,0.206260693161676,0.556937171497107,1.2342064198042
"Snodgrass Lake",0,3,0,63.08039,83.8,4,2.47035442688864,2.65757359516738,0.242278228798367,10.0790934495267
"South Twin Lake",0,20,0,63.86333,5.38,4,1.00807855324657,1.54734090616108,0.0252709910010412,5.71670495014438
"Summit Lake (Parks Hwy)",0,2,0,63.31164,182.39,4,2.68891739700101,2.77372814492931,0.329150629343401,10.563406499416
"Summit Lake (Paxson)",0,11,2,NA,NA,4,NA,NA,NA,NA
"Susitna Lake",2,24,0,62.39545,NA,4,NA,NA,NA,NA
"Swan Lake (Cooper Landing)",0,8,0,60.61404,36.42,4,2.12622342724902,2.6095004070295,0.176783649356386,9.33840476128035
"Tanada Lake",0,2,0,62.42391,1203.36,4,2.96984556005293,2.95867476920964,0.416994243720962,11.6622656886205
"Tazlina Lake",0,6,5,61.9498,NA,4,NA,NA,NA,NA
"Thing Two Lake",0,16,0,63.12482,NA,4,NA,NA,NA,NA
"Tsusena Butte Lake",0,8,0,62.93333,76.89,4,2.41324692272316,2.55642959732522,0.265256802515738,9.80101839177646
"Two Bit Lake",129,824,178,63.13471,114.7,1,1,0.0449673192368802,0.873203883495146,1.05436893203883
"Tyone Lake",2,2,0,62.51293,388.5,4,2.72060296944977,2.82171639377159,0.345701291354229,10.6058208036797
"Upper Landmark Gap Lake",0,5,0,63.13313,NA,4,NA,NA,NA,NA
