"","Year","LakeName","ProjectTitle","use_fish","make_estimates","n_samples"
"1",1960,"Crosswind Lake","Single Sample Evaluation - (June - 1960)",TRUE,TRUE,30
"2",1960,"Hidden Lake (Kenai)","Single Sample Evaluation - (June - 1960)",TRUE,FALSE,51
"3",1960,"Hidden Lake (Kenai)","Single Sample Evaluation - (September - 1960)",TRUE,FALSE,1
"4",1961,"Hidden Lake (Kenai)","Single Sample Evaluation - (September - 1960)",TRUE,FALSE,2
"5",1961,"Skilak Lake","Single Sample Evaluation - (July - 1961)",TRUE,FALSE,18
"6",1965,"16.8 Mile Lake","Single Sample Evaluation - (July - 1965)",TRUE,TRUE,14
"7",1965,"36 Mile Lake","Single Sample Evaluation - (August - 1965)",FALSE,TRUE,7
"8",1965,"Hidden Lake (Kenai)","Single Sample Evaluation - (May - 1965)",TRUE,FALSE,17
"9",1965,"Nabesna Twin 2 Lake","Single Sample Evaluation - (June - 1965)",FALSE,TRUE,1
"10",1965,"Sevenmile Lake","Single Sample Evaluation - (August - 1965)",TRUE,TRUE,14
"11",1966,"Crosswind Lake","Single Sample Evaluation - (February - 1966)",TRUE,TRUE,1
"12",1966,"Hidden Lake (Kenai)","Single Sample Evaluation - (May - 1966)",TRUE,FALSE,82
"13",1967,"Hidden Lake (Kenai)","Single Sample Evaluation - (June - 1967)",TRUE,FALSE,15
"14",1967,"Skilak Lake","Single Sample Evaluation - (May - 1967)",TRUE,FALSE,42
"15",1968,"Crosswind Lake","Single Sample Evaluation - (October - 1968)",TRUE,TRUE,2
"16",1968,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (July - 1968)",TRUE,FALSE,5
"17",1968,"Skilak Lake","Single Sample Evaluation - (September - 1968)",TRUE,FALSE,14
"18",1969,"Hidden Lake (Kenai)","Single Sample Evaluation - (June - 1969)",TRUE,FALSE,1
"19",1969,"Skilak Lake","Single Sample Evaluation - (October - 1969)",TRUE,FALSE,175
"20",1970,"Harding Lake","Single Sample Evaluation - (August - 1970)",TRUE,TRUE,6
"21",1970,"Juneau Lake (Cooper Landing)","Single Sample Evaluation - (August - 1970)",TRUE,FALSE,1
"22",1970,"Skilak Lake","Single Sample Evaluation - (September - 1970)",TRUE,FALSE,123
"23",1971,"Harding Lake","Single Sample Evaluation - (August - 1971)",TRUE,TRUE,1
