"","LakeName","LakeNum","n_Weight","n_Length","n_Age","Latitude","Area_ha","Elevation","Temperature","Winf_est","Winf_se","Winf_cilo","Winf_cihi","Linf_est","Linf_se","Linf_cilo","Linf_cihi","t0_est","t0_se","k_est","k_se","b0_est","b0_se","b1_est","b1_se"
"1","16.8 Mile Lake",1,0,14,0,63.043383,26.3,913,-3,1.10234779774226,0.74436315822998,0.381851281572578,3.16860577702023,452.52210379233,74.2817744361189,330.891868461685,627.705302021947,NA,NA,NA,NA,-19.7513956253134,1.88668160751437,3.24392392971851,0.307279599226411
"2","36 Mile Lake",2,0,7,0,63.103642,44.52,1164,-3,1.85471470155987,2.71426669979259,0.384050436887161,9.35296786157181,533.583824174944,134.060169346741,329.80330372921,861.087470094217,NA,NA,NA,NA,-19.7531484703282,1.90960853311193,3.2450368770959,0.31109280022166
"3","Aniak Lake",3,0,0,0,60.46815,393.6,334,-2,2.65156672018757,3.89848238558706,0.572357086568529,12.786128342283,595.982588534673,148.649914879128,371.71915864393,955.946176111245,NA,NA,NA,NA,-19.7861624694319,1.91588268399921,3.24808181440631,0.311749640695299
"4","Arolik Lake",4,0,0,0,59.46189,217.1,156,0,2.47429501440345,3.45864239454786,0.538868011617091,11.4072933906977,583.982293496564,141.869220945851,367.422993884531,923.243838756138,NA,NA,NA,NA,-19.7585635700159,1.90615144588941,3.24544817552162,0.310761337800876
"5","Backdown Lake",5,0,25,0,63.714855,2.09,817,-1,0.216243503419413,0.191349317480558,0.0484108575717924,0.771733572717442,273.52143942987,56.7174895943122,175.891092551246,402.069289989941,NA,NA,NA,NA,-19.7243568181456,1.90720509734724,3.23993381503912,0.310661861162767
"6","Big Lake (Healy)",6,6,65,5,62.98789,437.06,932,-3,4.14553420641083,1.5777376761698,2.02945986196112,7.79829547050054,648.749579756588,66.4323171252821,531.717415656572,773.098383393997,-0.554236947716897,1.34174059007215,0.0856540944561547,0.0249423486153459,-21.1807623864039,1.2043819442047,3.4909858271621,0.184737630573045
"7","Butte Lake",7,104,966,113,63.19019,275.19,1021,-3,1.38429376340678,0.207146353450029,1.06460102068786,1.88357409742247,486.214774240642,19.7381102795269,451.537137584182,529.94758226308,-0.375325662484145,0.642014130301149,0.153211026581713,0.0212444821274852,-20.8772281703743,0.705053991693185,3.4273708254886,0.122185832491115
"8","Caribou Lake (Cantwell)",8,0,0,0,63.238653,77.7,1005,-3,2.09045968418599,2.83808624329081,0.448393466994888,10.367964809679,552.927990673524,139.551335424669,344.705423813496,895.354038133377,NA,NA,NA,NA,-19.6958292591819,1.89885288415655,3.23608237736965,0.309104840023196
"9","Caribou Lake (Lake Louise)",9,0,0,0,62.215247,7.14,817,-3,0.936662379511468,1.51836218560058,0.167483067489929,5.29109582240331,431.031129579666,120.69040339634,256.728344676579,735.353748016975,NA,NA,NA,NA,-19.7566264066321,1.92103371256997,3.24591326823392,0.312663514792241
"10","Chandalar Lake",10,0,0,0,67.50427,2216.51,564,-6,2.99250501443851,4.96185316994564,0.66626960283248,14.8407821239089,619.078585736374,157.348474083096,388.580957419184,1000.67121659589,NA,NA,NA,NA,-19.7064027985568,1.88105087168209,3.23821036896379,0.306586517085989
