Available Data and Morphometry,,,,,,,,,,,,,,,,,,,
Alaska Lake Database (ALDAT) data export 10/27/22 and 12/15/22 (https://www.adfg.alaska.gov/SF_Lakes/),,,,,,,,,,"*Date may correspond to the last time information was updated, and may not reflect when data were collected.",,**Blanks represent missing data in the lake database.,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,*Most Recent Survey Date,SpeciesPreviouslyStocked,**NativeSpeciesPresent,BathymetricMap,Average of ForkLength_mm,Average of Weight_g,Count of ForkLength_mm,Count of Weight_g,Abundance,SWHS
Region III,Fairbanks (Lower Tanana River Drainage),Caribou Lake,-146.51657,62.21525,7.14,"129,516",1.81,7.6,1.29,4/9/2015,"Arctic grayling, coho salmon, rainbow trout","burbot, Arctic grayling, slimy sculpin",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Carlson Lake,-143.86153,62.76354,20.23,,,9.1,,7/12/1961,,"Dolly Varden, Arctic grayling",No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Donnelly Lake (Richardson Highway),-145.80576,63.75350,12.29,"448,135",3.65,12.0,2.72,7/6/2005,"Arctic char, lake trout, Arctic grayling, Chinook salmon, coho salmon, rainbow trout",slimy sculpin,Yes,207.2763158,,76,,,yes
Region III,North Slope Drainages,Ernie Lake,-146.20419,62.54318,5.22,,,4.9,,1/1/1988,,longnose sucker,No,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Farewell Lake,-153.63924,62.55509,254.95,,,49.4,,1/1/1955,,,No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Fourmile Lake (Taylor Highway),-142.57192,63.36110,49.90,"1,047,496",2.1,5.8,3.92,8/21/2007,"Arctic char, lake trout, coho salmon, rainbow trout, sheefish",,Yes,325.3,,10,,,yes
Region III,Delta (Upper Tanana River Drainage),Ghost Lake (Meadows Road),-145.83043,63.83526,1.96,"116,675",5.95,14.4,0.54,8/24/2005,"Arctic char, lake trout, rainbow trout, sheefish",slimy sculpin,Yes,368.4,,5,,,yes
Region III,Fairbanks (Lower Tanana River Drainage),Harding Lake,-146.88085,64.43474,887.18,"153,746,079",17.3,43.0,11.87,7/22/2013,"Arctic char, lake trout, Arctic grayling, coho salmon, sockeye salmon, steelhead, rainbow trout, sheefish","burbot, northern pike, slimy sculpin, least cisco",Yes,569.7717391,2840.522388,92,67,,
Region III,Delta (Upper Tanana River Drainage),"Island Lake (Richardson Highway, S of Donnelly Dome)",-145.82474,63.74074,,,,5.5,,4/1/1975,"Arctic grayling, sheefish",,No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),J Lake (Meadows Road),-145.83582,63.83345,6.80,,,15.1,1.57,8/16/2005,"Arctic char, Arctic grayling, coho salmon, rainbow trout","Arctic grayling, longnose sucker, rainbow trout, slimy sculpin",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Jatahmund Lake,-142.02902,62.62185,,,,23.8,,7/24/1979,rainbow trout,"lake trout, burbot, northern pike",No,487.9545455,593.75,110,8,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kelly Lake,-146.99603,62.16106,36.42,,,0.0,,7/1/1973,,"Arctic grayling, whitefish-unspecified",No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Kenna Lake,-145.54792,63.70910,5.92,,,12.2,1.38,6/10/2010,"lake trout, rainbow trout",,Yes,370,,2,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Klutina Lake,-145.73370,61.74769,6377.85,,,0.0,,7/21/1976,,"Dolly Varden, burbot, sockeye salmon",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),16.8 Mile Lake,-145.88319,63.04338,26.3,,,17.7,,8/26/1962,,"lake trout, Arctic grayling",No,349.5714286,,14,,,
Region III,North Slope Drainages,1st Lake above Toolik Lake,-149.58197,68.60990,,,,,,8/19/1979,,"lake trout, burbot, Arctic grayling",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),36 Mile Lake ,-146.41635,63.10364,44.52,,,9.1,,8/20/1971,,"lake trout, Arctic grayling, whitefish-unspecified",No,397.4285714,,7,,,
Region III,Yukon River Drainage,Ackerman Lake,-147.54757,67.53219,745.84,,,25.6,,8/18/1977,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",Yes,,,,,,
Region III,Yukon River Drainage,Agiak Lake,-152.95399,68.07416,,,,13.7,,7/30/1984,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,
Region III,Yukon River Drainage,Alatna River,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Amiloyak Lake,-152.86748,68.10734,,,,,,7/30/1984,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Amos Lakes,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Andi Lake,-144.36855,62.95808,28.33,,,,,8/28/1973,,lake trout,No,,,,,,
