FISH_N,WATER,YEAR_COL,SPECIES,FINAL_AGE,LENGTH,WEIGHT
LT.LML.030596.RANG.001,LITTLE MOOSE LAKE,1996,LT,18,498,879
LT.LML.05??96.RANG.001,LITTLE MOOSE LAKE,1996,LT,11,480,794
LT.LML.05??96.RANG.002,LITTLE MOOSE LAKE,1996,LT,18,495,823
LT.LML.05??96.RANG.003,LITTLE MOOSE LAKE,1996,LT,19,467,794
LT.LML.050496.RANG.001,LITTLE MOOSE LAKE,1996,LT,19,775,4142
LT.LML.050596.RANG.001,LITTLE MOOSE LAKE,1996,LT,17,554,1333
LT.LML.050696.RANG.001,LITTLE MOOSE LAKE,1996,LT,10,411,624
LT.LML.050696.RANG.002,LITTLE MOOSE LAKE,1996,LT,11,498,935
LT.LML.050896.RANG.001,LITTLE MOOSE LAKE,1996,LT,12,457,752
LT.LML.050896.RANG.002,LITTLE MOOSE LAKE,1996,LT,13,480,794
LT.LML.050896.RANG.003,LITTLE MOOSE LAKE,1996,LT,16,505,979
LT.LML.050896.RANG.004,LITTLE MOOSE LAKE,1996,LT,7,389,482
LT.LML.050896.RANG.005,LITTLE MOOSE LAKE,1996,LT,9,401,511
LT.LML.051096.RANG.001,LITTLE MOOSE LAKE,1996,LT,10,457,723
LT.LML.051096.RANG.002,LITTLE MOOSE LAKE,1996,LT,12,493,908
LT.LML.051096.RANG.003,LITTLE MOOSE LAKE,1996,LT,12,465,738
LT.LML.051096.RANG.004,LITTLE MOOSE LAKE,1996,LT,17,472,823
LT.LML.051196.RANG.001,LITTLE MOOSE LAKE,1996,LT,13,450,724
LT.LML.051196.RANG.002,LITTLE MOOSE LAKE,1996,LT,15,465,709
LT.LML.051196.RANG.003,LITTLE MOOSE LAKE,1996,LT,15,480,723
LT.LML.051196.RANG.004,LITTLE MOOSE LAKE,1996,LT,16,523,1021
LT.LML.051196.RANG.005,LITTLE MOOSE LAKE,1996,LT,16,444,681
LT.LML.051196.RANG.006,LITTLE MOOSE LAKE,1996,LT,16,462,837
LT.LML.051196.RANG.007,LITTLE MOOSE LAKE,1996,LT,16,508,965
LT.LML.051296.RANG.001,LITTLE MOOSE LAKE,1996,LT,10,488,879
LT.LML.051296.RANG.002,LITTLE MOOSE LAKE,1996,LT,13,442,610
