Available Data and Morphometry,,,,,,,,,,,,,,,,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,Elevation (m),Temp (C),SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,SpeciesPreviouslyStocked,NativeSpeciesPresent,BathymetricMap,Count of ForkLength_mm,Average of ForkLength_mm,Count of Weight_g,Average of Weight_g,Abundance,SWHS,"Include in ""Alaskanizing"" Modeling Exercise",Potentially Include in Lake Trout Management Plan
Region III,Delta (Upper Tanana River Drainage),16.8 Mile Lake,-145.883187000,63.043383,913,-3.00,17.422,"1,032,601",5.93,20.1,1.91,,"lake trout, Arctic grayling",Yes,23,351,,,,,Yes,Yes
Region III,North Slope Drainages,1st Lake above Toolik Lake,-149.581970000,68.609900,738,-9.00,,,,,,,"lake trout, burbot, Arctic grayling",No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),36 Mile Lake ,-146.416351000,63.103642,1164,-3.00,44.52,,,9.1,,,"lake trout, Arctic grayling, whitefish-unspecified",No,7,397,,,,,No,Yes
Region III,Yukon River Drainage,Ackerman Lake,-147.547570000,67.532190,537,-6.00,745.84,,,25.6,,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",Yes,,,,,,,No,No
Region III,Yukon River Drainage,Agiak Lake,-152.953990000,68.074160,945,-7.00,,,,13.7,,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,,No,No
Region III,North Slope Drainages,Amiloyak Lake,-152.867480000,68.107340,951,-8.00,,,,,,,"Arctic char, lake trout, Arctic grayling",Yes,,,,,,Yes,No,No
Region III,Kuskokwim-Goodnews Drainages,Amos Lakes,,,,,,,,,,,,,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Andi Lake,-144.368554000,62.958077,926,-3.00,28.33,,,,,,lake trout,No,,,,,,,No,No
Region III,Kuskokwim-Goodnews Drainages,Aniak Lake,-159.182420000,60.468150,334,-2.00,393.6,,,37.8,13,,"Arctic char, lake trout, Arctic grayling, slimy sculpin, round whitefish",No,,,,,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Antelope Lake,-146.300722000,62.713079,751,-3.00,97.12,,,11.0,,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),April Lake,-146.253064000,62.514847,826,-3.00,13.4,,,11.6,,,"lake trout, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Kuskokwim-Goodnews Drainages,Arolik Lake,-161.101490000,59.461890,156,0.00,217.1,,,56.4,9.47,,"Arctic char, lake trout, Arctic grayling, coho salmon, sockeye salmon, round whitefish",Yes,,,,,,Yes,No,Yes
