"","n_Weight","n_Length","n_Age","Lat","Area_ha","Method","W_inf","SE_W_inf","CI95lo_W_inf","CI95hi_W_inf"
"16.8 Mile Lake",0,14,0,63.04338,26.3,4,2.13398504073406,2.5866798280034,0.167088699631617,9.39071905029422
"36 Mile Lake",0,7,0,63.10364,44.52,4,2.42754920858566,2.750296728419,0.212172763144016,10.0967456225995
"Backdown Lake",0,25,0,63.71486,2.09,4,0.462293296137008,1.05305491927624,0.00167421653622266,3.76827134373305
"Bernard Lake",0,5,5,61.5254,NA,4,NA,NA,NA,NA
"Big Lake (Healy)",6,65,5,62.98789,437.06,4,3.73697921407566,3.85095268152902,0.441402971460017,14.828059798242
"Bullwinkle Lake",0,1,0,63.906999,2,4,0.424341238483042,1.06484844909473,0.00146616761349555,3.78170185274045
"Butte Lake",104,966,113,63.19019,275.19,1,1.34006211180125,0.0968116992562748,1.06542443064182,1.42003105590062
"Chandler Lake",330,1330,47,68.22725,1311.5,1,6.44120000000002,0.65149712788165,5.443,7.61303157894737
"Chelle Lake",0,4,0,62.19199,14.16,4,1.75830125176403,2.35941491809343,0.0915547037392022,8.70321407131855
"Chet Lake",0,16,0,63.830588,4,4,0.854538151285513,1.52759827545217,0.0139525752808372,5.33297540690956
"Clarence Lake",0,9,0,62.67556,121,4,2.92617326869659,3.04583349730416,0.312002835458514,11.5752637229491
"Coal Mine 5",0,99,0,63.717789,4,4,0.866417194023042,1.52898578250816,0.0124449870039761,5.30986125055068
"Craig Lake",0,7,0,63.73103,8.41,4,1.42104842047419,1.97732603953997,0.0587804209972339,7.25481763214986
"Crosswind Lake",111,147,2,62.35472,3716.55,3,6.15776934469081,0.89873356886185,4.54631454142714,7.87048955088239
"Crystal Lake #1",0,10,0,63.15976,NA,4,NA,NA,NA,NA
"Dickey Lake",0,46,0,62.93348,305.54,4,3.11497919494935,3.20477814487499,0.399893789337817,12.3119073506171
"Dog Lake (near Lk Louise)",0,5,0,62.37635,339.94,4,3.19963746709439,3.29724387067577,0.408709632516238,12.3295706405608
"Donnelly Lake",0,76,0,NA,NA,4,NA,NA,NA,NA
"Ellis Lake",16,67,0,62.26928,101.17,4,2.7312261986756,2.54739066078342,0.346260747108023,9.863491343237
"Fielding Lake",622,1290,3,63.17169,561.96,3,7.02526757100827,1.37592727384526,4.55891721644714,9.33303150639844
"Four Mile Lake",0,10,0,NA,NA,4,NA,NA,NA,NA
"Fourteen Mile Lake",0,146,0,63.071954,39,3,1.24833615794237,0.286793201019595,0.799460925121462,1.78573622846515
"Galbraith Lake",29,163,0,68.46224,413.56,3,5.81327865841495,1.06736292293979,3.83559109017545,8.00781513331187
"Ghost Lake",0,5,0,NA,NA,4,NA,NA,NA,NA
"Glacier Gap Lake (Denali Hwy)",389,1362,403,63.11834,179.3,1,1.125,0.0220109920083494,1.075,1.175
